Order_ID,Order_Date,Country,Region,City,Product_Category,Product_Name,Sales,Profit,Quantity,Discount,Returns,Target_Sales
ORD0001,1/1/2024,India,East,Pune,Office Supplies,Desk,22065,15161,15,0,0,57851
ORD0002,1/2/2024,India,West,Ahmedabad,Electronics,Monitor,57693,3314,24,0.13,1,38087
ORD0003,1/3/2024,India,North,Pune,Furniture,Mobile,29962,15954,6,0.16,1,42347
ORD0004,1/4/2024,India,East,Delhi,Furniture,Mobile,31295,16340,23,0.21,1,43756
ORD0005,1/5/2024,India,East,Chennai,Office Supplies,Monitor,16807,13508,3,0.37,0,49214
ORD0006,1/6/2024,India,West,Kolkata,Furniture,Table,45348,13969,17,0.14,1,26335
ORD0007,1/7/2024,India,North,Ahmedabad,Electronics,Notebook,29432,4891,5,0.14,0,38602
ORD0008,1/8/2024,India,North,Chennai,Office Supplies,Desk,60854,-3223,28,0.3,0,58901
ORD0009,1/9/2024,India,East,Hyderabad,Electronics,Laptop,43262,-4100,12,0.18,0,44450
ORD0010,1/10/2024,India,South,Kolkata,Electronics,Printer,40080,15061,18,0.09,0,42196
ORD0011,1/11/2024,India,East,Pune,Furniture,Printer,4324,5716,14,0.18,0,15626
ORD0012,1/12/2024,India,East,Pune,Furniture,Table,38909,-1019,21,0.06,0,17424
ORD0013,1/13/2024,India,East,Kolkata,Furniture,Notebook,22870,-1624,24,0.07,0,22857
ORD0014,1/14/2024,India,East,Pune,Furniture,Mobile,37578,8907,11,0.2,0,54923
ORD0015,1/15/2024,India,West,Bangalore,Furniture,Mobile,75124,10777,9,0.17,0,29982
ORD0016,1/16/2024,India,North,Kolkata,Office Supplies,Printer,29790,19693,2,0.37,0,21425
ORD0017,1/17/2024,India,West,Chennai,Electronics,Table,28289,10977,12,0.14,0,11980
ORD0018,1/18/2024,India,West,Kolkata,Electronics,Desk,58129,2160,3,0.23,0,58290
ORD0019,1/19/2024,India,West,Ahmedabad,Electronics,Mobile,18485,18329,3,0.25,0,36431
ORD0020,1/20/2024,India,East,Pune,Electronics,Desk,47482,6124,1,0.01,0,29440
ORD0021,1/21/2024,India,South,Bangalore,Furniture,Notebook,7748,8282,8,0.27,0,51752
ORD0022,1/22/2024,India,North,Bangalore,Electronics,Mobile,12435,15624,22,0.07,0,27175
ORD0023,1/23/2024,India,South,Hyderabad,Office Supplies,Mobile,6709,15321,28,0.38,0,58651
ORD0024,1/24/2024,India,West,Chennai,Office Supplies,Chair,33355,2488,29,0.06,1,36385
ORD0025,1/25/2024,India,West,Mumbai,Electronics,Mobile,58771,14574,8,0.17,0,48158
ORD0026,1/26/2024,India,South,Mumbai,Electronics,Monitor,60799,-2760,11,0.03,0,33019
ORD0027,1/27/2024,India,South,Kolkata,Office Supplies,Laptop,16116,2453,9,0.4,0,28639
ORD0028,1/28/2024,India,South,Hyderabad,Office Supplies,Monitor,28470,2478,5,0.2,1,29994
ORD0029,1/29/2024,India,West,Delhi,Furniture,Table,45344,14877,14,0.24,0,44375
ORD0030,1/30/2024,India,West,Kolkata,Office Supplies,Table,45918,4394,28,0.03,1,31563
ORD0031,1/31/2024,India,North,Hyderabad,Furniture,Desk,55224,11262,3,0.3,0,49341
ORD0032,2/1/2024,India,North,Chennai,Furniture,Monitor,42298,12527,21,0.08,1,15776
ORD0033,2/2/2024,India,West,Chennai,Furniture,Monitor,64629,12028,5,0.36,0,46444
ORD0034,2/3/2024,India,South,Chennai,Furniture,Monitor,69040,-3568,5,0.08,1,13380
ORD0035,2/4/2024,India,South,Chennai,Furniture,Notebook,31016,5568,19,0.08,0,18711
ORD0036,2/5/2024,India,North,Chennai,Electronics,Mobile,26960,18631,27,0.01,0,18782
ORD0037,2/6/2024,India,West,Hyderabad,Office Supplies,Laptop,36591,6178,14,0.19,0,27434
ORD0038,2/7/2024,India,North,Hyderabad,Furniture,Desk,70641,9660,26,0.23,0,56765
ORD0039,2/8/2024,India,North,Bangalore,Office Supplies,Monitor,39395,14195,4,0.03,0,30017
ORD0040,2/9/2024,India,East,Ahmedabad,Office Supplies,Monitor,25700,19342,25,0.31,1,40707
ORD0041,2/10/2024,India,East,Mumbai,Furniture,Chair,37620,-7698,13,0.18,1,49110
ORD0042,2/11/2024,India,East,Pune,Electronics,Desk,23559,9022,10,0.21,0,27343
ORD0043,2/12/2024,India,South,Chennai,Furniture,Monitor,64642,-7945,25,0.18,0,48827
ORD0044,2/13/2024,India,West,Delhi,Electronics,Desk,79539,5013,18,0.16,0,51652
ORD0045,2/14/2024,India,West,Pune,Office Supplies,Mobile,24732,717,8,0.22,0,15655
ORD0046,2/15/2024,India,West,Hyderabad,Electronics,Chair,33354,150,8,0.06,0,54859
ORD0047,2/16/2024,India,West,Delhi,Electronics,Desk,16843,-5875,7,0.07,0,25251
ORD0048,2/17/2024,India,East,Delhi,Electronics,Laptop,74726,3479,8,0.34,0,10526
ORD0049,2/18/2024,India,South,Delhi,Office Supplies,Laptop,20640,7745,14,0.38,0,13224
ORD0050,2/19/2024,India,South,Bangalore,Office Supplies,Table,55528,8748,19,0.15,0,57837
